match id,dataset_type,win_pred_team_id,win_pred_score,train_algorithm,is_ensemble,train_hps_trees,train_hps_depth,train_hps_lr,indep_feat_id1,indep_feat_id2,indep_feat_id3,indep_feat_id4,indep_feat_id5,indep_feat_id6,indep_feat_id7,indep_feat_id8,indep_feat_id9,indep_feat_id10
9262133,r1,36098,0.5634500262260719,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.7142857142857142,152.26666666666668,135.73333333333332,4.67,1.1190086309828404,2.6476190476190475,0.7,0.47,0.875,1.201619047130997
9782086,r1,202,0.597167498118908,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.5,142.25,150.4,3.11,1.2173271647118276,0.4816176470588235,0.86,2.33,1.0,1.188006562770635
9271807,r1,47501,0.5777170443291026,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.6,140.0,124.93333333333334,0.3,0.7896460298420259,1.2413793103448276,0.89,0.71,0.6666666666666666,0.7822925991977598
9644102,r1,202,0.5217870506300737,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,3.4,145.83333333333334,142.4,0.82,1.0006600299356827,1.3537953795379538,1.05,0.81,0.859375,1.095747228736205
9256386,r1,62,0.5885981710101851,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.4444444444444444,143.5,159.26666666666668,0.61,0.8692321362488775,1.2474576271186442,0.17,0.61,1.020253164556962,0.8341393841503644
9272773,r1,33963,0.522484565534582,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.9090909090909092,137.9,138.93333333333334,1.21,0.9412770593861718,0.4747474747474747,1.12,1.09,1.0666666666666669,0.9043202754655818
9433850,r1,10576,0.5035962122996747,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.6666666666666666,176.03333333333333,160.86666666666667,1.17,0.8398608913797143,0.5255832992222678,1.1,1.17,1.1202185792349726,0.9587242407610912
9615073,r1,20,0.5140687616971129,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.9230769230769232,167.1,134.73333333333332,0.74,0.9469199302922996,0.5058365758754864,0.79,0.8,0.791304347826087,0.9556465303364996
9262035,r1,36070,0.5118246878240529,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.4,158.66666666666666,137.73333333333332,0.38,1.1696713489775186,0.7,3.33,1.54,0.7142857142857143,1.0008002845512904
9262252,r1,36070,0.5026313479085367,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.8333333333333334,146.83333333333334,147.86666666666667,0.81,0.881715479340762,0.7241379310344828,0.53,2.36,1.5,0.9033155389826948
9128363,r1,48334,0.5220978787270443,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,2.75,162.9,140.53333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9085292,r1,10366,0.5481353117106684,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.75,157.43333333333334,158.2,1.51,0.9054464443594582,1.3766233766233764,2.1,1.15,0.7826086956521738,1.1473913186151712
9272444,r1,33942,0.550141718423923,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.6363636363636364,153.63333333333333,131.0,1.47,0.9323512379294912,1.7485714285714284,1.14,2.21,1.0666666666666669,1.0038695385133816
9457538,r1,42573,0.5353217898773268,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.7142857142857143,161.8,134.4,1.22,0.7820246681617067,3.333333333333333,1.0,0.61,0.7407407407407407,1.0348831505113296
9433108,r1,9701,0.5708903296753631,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.7142857142857143,157.46666666666667,149.93333333333334,0.39,1.1355022608179552,0.3893805309734513,0.71,0.66,0.935064935064935,0.8691482137032367
9516674,r1,30435,0.5916678443521812,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.7,172.8,165.73333333333332,0.66,0.7820473226302636,0.643404255319149,2.0,1.19,1.1382113821138211,0.9159755179088096
9684506,r1,12389,0.5130575241218911,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.0,149.2,123.4,1.0,0.6892325568527639,1.0,1.0,1.0,1.0,0.8734723668069384
9167927,r1,209,0.5446988420799678,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,2.0,127.5,147.33333333333334,1.0,0.5947570947570947,1.0,1.0,1.0,1.0,0.9141871692267975
9433885,r1,8987,0.5321420968412418,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.9090909090909092,172.86666666666667,160.2,1.06,0.959890268299914,0.9808695652173912,0.91,0.63,0.8844086021505376,0.8868652988378494
9433899,r1,7727,0.5779449885042259,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.0,168.6,160.73333333333332,1.8,1.0414386133416196,1.0359869138495092,2.0,1.44,1.3555555555555556,0.8507386580934185
9087147,r1,76,0.5956598637864076,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.8,140.16666666666666,135.46666666666667,0.49,0.8094806733334939,1.0246138996138996,0.3,0.55,1.1272727272727272,0.8205350022686434
9457664,r1,47529,0.5381887384835733,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,2.0,152.63333333333333,141.86666666666667,9.0,0.6695320011343748,1.637037037037037,2.0,1.0,0.5185185185185185,1.0615610634127517
9097395,r1,23750,0.6265468073126215,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,3.0,141.56666666666666,134.46666666666667,1.0,1.8745644599303135,1.0,1.0,1.0,1.0,1.1138786191152628
9271800,r1,47480,0.5215011544849711,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.1428571428571428,140.0,124.4,1.41,1.7499936116163095,1.5151515151515151,1.2,0.7,1.12,1.0903206034112551
9087042,r1,48,0.5444047623310393,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.0555555555555556,0.0,128.33333333333334,3.72,1.2682649758932705,1.177372962607862,0.96,0.53,1.2462406015037597,0.9185337551908728
9457510,r1,47529,0.5700291885133525,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,2.2,160.73333333333332,151.73333333333332,6.0,0.9541884975837368,0.46,1.0,1.12,0.8,1.046547391884194
9085040,r1,9967,0.56085345761695,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.8333333333333334,153.86666666666667,153.2,1.77,1.0866254940711462,0.7023809523809524,0.76,0.85,1.1951219512195124,1.0158651973944486
9085418,r1,8987,0.5159671647403052,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.2222222222222223,163.43333333333334,157.8,0.6,1.1956045576901806,0.8369565217391305,1.0,0.79,1.0952380952380951,0.9128932078098864
9331398,r1,12634,0.503171104635705,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.2,147.53333333333333,152.26666666666668,2.36,0.8366325139056209,0.4384057971014493,1.0,2.36,1.2916666666666667,1.1123458270868625
9272507,r1,33963,0.5291160714359953,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.3333333333333333,146.13333333333333,136.86666666666667,1.12,1.2827260609198103,1.6031746031746033,1.03,0.94,1.0625000000000002,1.142898206323293
9225376,r1,48,0.5359238574763725,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.7,0.0,140.86666666666667,1.99,0.9817038216560512,1.8033682294037323,2.6,1.07,1.1657142857142857,0.9615868094948116
9516338,r1,48341,0.5067715422518291,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.3076923076923077,163.26666666666668,161.86666666666667,0.74,1.204527470734592,1.0153482880755609,0.91,0.99,0.7195767195767195,1.026099401131581
9440493,r1,55,0.5930153006563479,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.3125,166.5,144.53333333333333,2.69,1.213530460624071,1.5193798449612403,1.56,1.35,1.1769722814498933,1.1918056795851493
9457447,r1,47529,0.5297184959210317,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.9090909090909092,160.63333333333333,134.13333333333333,2.12,0.757385976517691,0.2785714285714286,1.0,2.73,0.5,0.956140863082344
9077011,r1,42573,0.5550800780133007,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.875,152.53333333333333,154.2,3.5,0.6739047619047619,4.0,1.5,0.39,1.35,0.9889999680690548
9085355,r1,9701,0.6255790643159502,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.625,153.96666666666667,148.13333333333333,0.37,1.4004387748978078,1.4078212290502792,0.23,0.39,0.8203125,0.9566221732693354
9076997,r1,47529,0.5195428400752501,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.2,150.8,155.46666666666667,0.32,1.1402563626230726,3.08641975308642,1.0,0.53,1.0,1.1722565391925528
9587136,r1,36084,0.5772823932290441,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.4,160.76666666666668,150.66666666666666,1.45,1.0533419242652424,0.710655737704918,0.95,1.24,1.1478260869565218,1.040983959595665
8887801,r1,33928,0.5629861167753222,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.6,149.46666666666667,151.8,0.94,1.0673701752904463,1.0805970149253732,0.67,0.94,0.875,0.9699318267390584
9684667,r1,15301,0.6387005065491287,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.3636363636363636,134.73333333333332,128.53333333333333,2.46,1.0725807060885597,1.4935897435897436,1.0,0.77,0.953804347826087,1.174771739992007
9330789,r1,11283,0.5499270418606862,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,4.0,148.23333333333332,159.26666666666668,0.89,1.051731723453523,0.5032894736842105,1.0,0.67,0.9272727272727272,1.0409626086919863
9098844,r1,188,0.5044583596447325,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.4285714285714286,124.5,137.6,0.42,0.744152863715691,0.4618473895582329,1.0,0.43,1.0,0.7721478940580593
9331335,r1,14454,0.5844345466957866,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,6.0,127.4,135.46666666666667,3.33,1.5075659494855005,14.4375,1.2,0.67,1.4230769230769231,1.0773970514748703
9085187,r1,9701,0.6130248065646007,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.5294117647058824,153.6,144.73333333333332,0.43,0.8685044584860498,1.3251533742331287,0.17,0.77,0.9375,0.9707349728410826
9051104,r1,40578,0.520200437804518,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.75,167.9,151.13333333333333,1.0,0.9907973256713448,2.0476190476190474,6.0,1.4,0.8999999999999999,1.0744694780182256
9271730,r1,47480,0.5817551247750751,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.9090909090909092,153.36666666666667,135.33333333333334,0.33,1.5612247388261864,2.0,0.5,0.5,0.6477272727272727,0.8610813393920423
9051048,r1,40564,0.542960287259689,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,2.6,167.56666666666666,149.6,1.54,1.155735985038544,1.05,0.16,0.96,1.1111111111111112,0.9867426662341526
9407782,r1,48922,0.5923554069882582,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.6666666666666666,149.73333333333332,161.93333333333334,1.71,0.6005443714382577,0.0887096774193548,1.0,1.29,2.1666666666666665,0.8826420707713768
9272542,r1,33935,0.5702340191649268,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.9230769230769232,147.2,144.8,0.21,0.5919088444808676,0.2961082910321489,0.5,0.23,0.8064516129032258,0.8130795419995037
9377339,r1,62,0.5205437449229897,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.3529411764705883,161.0,168.46666666666667,0.68,0.7594910645780882,0.720380302291565,1.3,1.04,0.9115151515151516,0.89625934657048
8950780,r1,55,0.5957150762683807,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.9090909090909087,0.0,138.26666666666668,1.35,1.2459364660551997,1.9791044776119409,1.35,2.44,1.2,0.9961647799234644
9290917,r1,55,0.5525665062672617,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,4.5,132.66666666666666,136.66666666666666,1.0,2.004135802469136,1.0,0.7,0.73,0.9066666666666666,1.3965637395238866
9084655,r1,6698,0.5366819239194475,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.7857142857142857,161.66666666666666,147.73333333333332,4.4,1.1752426021325026,1.9130434782608696,0.97,1.47,1.21875,1.0452136630138735
9516569,r1,30421,0.5249753531255199,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.8125,174.4,168.46666666666667,1.68,1.2313093554253385,2.1296296296296298,2.19,2.1,0.75,1.026299559112747
9085215,r1,8917,0.5708087336852077,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.4545454545454546,159.56666666666666,147.2,0.95,1.2544844124700243,1.0151515151515151,0.8,0.38,0.981060606060606,1.075883083537789
9292569,r1,34,0.5176174880836973,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.2727272727272727,166.3,151.93333333333334,1.0,1.0655943715568927,0.6517246194665548,0.74,0.85,1.0340909090909092,0.8641800467529168
9272738,r1,33935,0.5015287152732237,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.6,146.33333333333334,137.86666666666667,2.68,1.3737300398133483,2.662162162162162,2.0,4.73,1.3777777777777778,1.1965594981408412
9331216,r1,14454,0.6314608956541148,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.8571428571428571,123.96666666666668,128.33333333333334,0.43,0.8485543451552133,0.3809523809523809,0.54,0.86,0.918918918918919,0.8985346712133635
9128356,r1,30407,0.5011314556939928,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.0,159.06666666666666,135.73333333333332,1.56,1.0292594264413677,1.4651162790697674,1.28,1.87,0.975,1.0052141882763774
9516807,r1,48334,0.6004209896774463,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.1428571428571428,174.56666666666666,165.53333333333333,4.1,2.288003136159256,0.6120527306967984,1.21,0.91,1.12,1.165072748961823
9377318,r1,62,0.5641352403498856,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.3157894736842106,0.0,168.2,0.72,0.8456091268909925,0.6647919010123734,1.45,1.16,0.9115151515151516,0.8986172107725182
9084613,r1,8700,0.5503289535653224,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.25,161.66666666666666,147.73333333333332,0.4,1.4705752824103788,1.5254237288135593,1.0,0.5,0.8333333333333334,1.0533268928284236
9330705,r1,12389,0.5220262518232803,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.0,148.23333333333332,159.26666666666668,1.5,0.7714473026973028,1.7391304347826086,1.0,1.0,0.8333333333333334,1.0571896198187731
9717518,r1,48,0.5634917816383598,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.8666666666666667,150.33333333333334,149.86666666666667,0.52,1.0458361626520334,0.6189710610932476,0.23,0.94,0.8852459016393442,0.9212746139697592
9433535,r1,7608,0.5544274857969359,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.4,185.03333333333333,152.33333333333334,0.72,0.7908040736911518,0.5399325084364455,0.9,0.9,0.7619047619047619,1.0815203223119088
9692451,r1,55,0.6051777948733735,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.2857142857142857,166.25,142.06666666666666,0.46,0.8086944964950109,0.8204334365325078,0.66,0.23,1.113861386138614,0.820143982252132
9489451,r1,46759,0.5066091859113238,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.0769230769230769,147.6,134.06666666666666,0.67,0.908424984117554,0.8427480916030534,1.03,0.67,1.226851851851852,0.8511815215694521
9272549,r1,33956,0.5405333194431663,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.2857142857142857,147.2,144.8,0.72,0.8168431654013002,0.410126582278481,0.58,0.81,1.0062893081761006,0.8650907089246704
9539718,r1,62,0.6062943927634599,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,2.8,0.0,158.93333333333334,0.81,1.0116433890684278,0.4923076923076923,2.19,0.86,0.9894736842105264,1.0926949634209424
9516779,r1,30421,0.5592633699332286,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,2.6,169.33333333333334,159.86666666666667,0.48,1.0940027924913012,1.053658536585366,1.05,3.16,1.0079575596816976,0.9605169153145738
8887780,r1,33928,0.5424968580412113,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.8,152.3,149.33333333333334,0.94,1.0673701752904463,1.0805970149253732,1.0,0.94,0.875,0.9699318267390584
9220070,r1,188,0.5525215531622638,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.5384615384615384,175.5,173.86666666666667,0.86,0.8165694787191908,1.2702169625246549,0.38,1.0,1.0333333333333334,0.789433540255267
9407733,r1,48733,0.528355779047458,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.181818181818182,147.13333333333333,135.66666666666666,1.0,1.1900564174894217,1.0,1.5,0.5,0.9333333333333332,1.081832745592473
9076822,r1,45072,0.500809900925475,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.5,155.0,152.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9051097,r1,44904,0.5763201776538458,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.625,169.66666666666666,146.2,3.5,0.9641204080443292,1.2489795918367348,0.75,0.57,1.3162393162393162,1.0636120398668745
9484593,r1,40550,0.5237704624344445,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.0,165.03333333333333,149.73333333333332,0.8,1.041860252168755,0.958806818181818,3.11,1.5,0.8062499999999999,1.160425940794397
9128426,r1,30428,0.5071327476619375,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.875,167.66666666666666,144.53333333333333,0.64,1.0502251838680705,1.873015873015873,0.68,0.46,0.9195402298850576,1.092514401247234
9085278,r1,7727,0.5720205916224426,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.5,157.43333333333334,158.2,1.43,0.948657796884458,1.2394067796610169,0.67,0.89,0.8571428571428571,0.8921847047247742
9271695,r1,47501,0.5255028850461928,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.9090909090909092,141.5,140.6,1.38,1.4929567030192323,3.576923076923077,3.12,0.92,1.222222222222222,1.3530355089622337
9684051,r1,11591,0.5568790536134208,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.0,147.53333333333333,126.26666666666668,0.55,0.79691432388268,0.0869565217391304,1.0,5.5,1.0833333333333333,1.156542515311065
9516443,r1,30435,0.5143718970860338,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.8666666666666667,174.8,166.93333333333334,0.83,1.3190210104568774,1.6428571428571428,1.25,1.06,0.9848484848484848,1.0142090200222542
9085327,r1,8182,0.5113888932139783,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.25,157.43333333333334,158.2,0.63,1.0654451217286565,1.4193548387096775,1.25,1.06,1.1428571428571428,1.0046230045534614
9128552,r1,30393,0.5647888728799726,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.5714285714285714,172.9,166.2,0.79,0.8516470856572834,1.3444444444444446,0.83,1.05,1.0,0.8249536674668362
9076983,r1,40298,0.5667271764966022,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.7777777777777778,150.8,155.13333333333333,1.0,0.9034608378870674,1.0,1.0,1.0,1.0,0.8241629163538208
9084956,r1,10618,0.5290916825549632,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.6923076923076923,158.63333333333333,153.13333333333333,0.71,0.9385053692852884,0.7833935018050542,1.12,0.8,0.9,0.900542835262634
9725764,r1,55,0.6557639738882709,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.8571428571428568,181.7,148.26666666666668,2.42,1.1145955216153247,1.3742424242424245,1.34,0.86,1.043956043956044,0.974145700196684
9433157,r1,7258,0.5151402877142185,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.3846153846153846,158.56666666666666,154.86666666666667,1.26,0.8757823111096154,0.5226480836236934,0.56,0.7,1.1666666666666667,0.947923797321767
9457482,r1,40298,0.5887126827864562,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.1666666666666666,158.56666666666666,143.73333333333332,1.0,1.0219278881530538,1.0,0.38,1.57,0.7272727272727273,0.8295918561640054
9097178,r1,202,0.6106905349225427,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.5,175.5,148.86666666666667,1.0,1.813091482649842,1.0,1.0,1.0,1.0,1.3266355807603445
9085362,r1,8182,0.5849536287677419,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.7857142857142857,153.96666666666667,148.13333333333333,0.8,1.0758842209000987,0.8870967741935484,0.75,0.6,1.393939393939394,1.0054713571714893
9097185,r1,216,0.5157780691389099,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,4.0,136.0,148.86666666666667,1.0,1.0,1.0,0.83,0.14,1.277777777777778,0.0
9457419,r1,35790,0.5149901557999391,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,0.7,157.56666666666666,148.86666666666667,1.67,1.3471743536456138,2.241758241758242,1.0,1.0,1.0,1.1122147441984251
9684786,r1,13474,0.5293330420096826,xgb;cat;gb;lgb,yes,100;100;300;100,11;10;3;7,0.01;0.01;0.001;0.01,1.25,125.46666666666668,118.26666666666668,0.75,1.0610872345261786,2.7525252525252526,0.71,3.75,2.2666666666666666,1.1149964162632997
